ID,GlideNumber,Country,OtherCountry,lat,long,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
1,0,Algeria,0,35.8142,5.23026,92615.67,01/01/1985,05/01/1985,News,26,3000,Heavy rain,1
2,0,Brazil,0,-18.7111,-45.3489,678498.82,15/01/1985,02/02/1985,News,229,80000,Heavy rain,2
3,0,Phillipines,0,10.0207,122.974,12846.03,20/01/1985,21/01/1985,News,43,444,Torrential rain,1
4,0,Indonesia,0,1.01489,124.606,16542.12,04/02/1985,18/02/1985,News,21,300,Torrential rain,1
5,0,Mozambique,0,-25.8693,32.3491,20082.21,09/02/1985,11/02/1985,News,19,0,Heavy rain,2
6,0,Comoros islands,0,-11.6516,43.36,1035.61,16/02/1985,28/02/1985,News,2,35000,Tropical cyclone,1
7,0,New Zealand,0,-37.2305,175.734,7871.37,17/02/1985,18/02/1985,News,4,200,Heavy rain,1
8,0,Indonesia,0,-7.04008,108.14,77091.11,19/02/1985,23/02/1985,News,10,2000,Heavy rain,1
9,0,USA,0,40.6691,-85.1742,210527.96,22/02/1985,01/03/1985,News,7,2250,Rain and snowmelt,2
10,0,Bolivia,0,-21.2244,-63.2887,69706.89,25/02/1985,28/02/1985,News,2,1000,Heavy Rain,1
11,0,USA,0,40.6814,-89.5537,26266.14,03/03/1985,08/03/1985,News,4,2400,Rain and snowmelt,2
12,0,USA,0,35.3824,-108.093,26527.13,13/03/1985,14/03/1985,News,0,80,Rain and snowmelt,1
13,0,USA,0,29.6044,-96.7845,141508,14/03/1985,15/03/1985,News,0,0,Heavy rain,1
14,0,USA,0,42.0122,-83.5377,16883.54,30/03/1985,31/03/1985,News,0,300,Heavy rain,1
15,0,Brazil,0,-4.13519,-48.0987,1970402.21,02/04/1985,17/04/1985,News,32,700000,Heavy rain,2
16,0,USA,0,28.5802,-96.8425,17192.76,11/04/1985,12/04/1985,News,1,200,Heavy rain,1
17,0,China,0,48.0917,127.897,300325.08,21/04/1985,29/04/1985,News,0,200,Ice jam/break-up,1
18,0,USA,0,46.4938,-87.8805,5123.72,24/04/1985,25/04/1985,News,0,400,Rain and snowmelt,2
19,0,USA,0,34.8628,-105.275,116344.02,11/05/1985,12/05/1985,News,2,0,Heavy rain,1
20,0,USA,0,18.2291,-66.706,1423.92,19/05/1985,20/05/1985,News,2,4500,Heavy rain,1
21,0,China,0,25.6694,109.57,458666.21,26/05/1985,06/06/1985,News,64,10000,Heavy rain,2
22,0,Argentina,0,-35.4392,-58.9735,78653.41,30/05/1985,01/06/1985,News,25,100000,Heavy rain,2
23,0,Bangladesh,0,24.6497,91.8542,8910.3,03/06/1985,22/06/1985,News,7,100000,Heavy rain,2
24,0,USA,0,33.6977,-99.4494,83470.44,05/06/1985,06/06/1985,News,6,100,Heavy rain,1
25,0,USA,0,36.3581,-96.1011,9865.44,10/06/1985,11/06/1985,News,0,320,Heavy rain,2
26,0,Philippines,0,14.7417,120.916,7768.19,22/06/1985,30/06/1985,News,98,130000,Tropical cyclone,1
27,0,India,0,14.5398,75.0937,254234.6,23/06/1985,27/06/1985,News,95,25000,Heavy rain,1
28,0,China,0,27.7882,109.974,290679.68,28/06/1985,10/07/1985,News,275,60000,Heavy rain,2
29,0,Bangladesh,0,22.6176,89.9853,6446.85,03/07/1985,04/07/1985,News,2,77000,Heavy rain,1
30,0,West Germany,0,50.7134,6.50952,1927.64,06/07/1985,07/07/1985,News,3,0,Heavy rain,1
31,0,USA,0,38.9381,-80.5923,24269.06,09/07/1985,10/07/1985,News,2,200,Torrential rain,1
32,0,Chad,0,11.6727,21.5509,15243.93,13/07/1985,16/07/1985,News,0,1600,Heavy rain,1
33,0,India,0,32.8353,76.9103,117441.17,18/07/1985,30/07/1985,News,340,20000,Heavy rain,1
34,0,Sudan,0,13.489,24.9139,63577.12,19/07/1985,22/07/1985,News,0,0,Heavy rain,1
35,0,China,0,42.6953,125.156,994498.21,20/07/1985,02/09/1985,News,200,2000000,Tropical cyclone,2
36,0,Bangladesh,0,23.1028,90.1999,5663.46,21/07/1985,17/08/1985,News,15,175000,Heavy rain,1
37,0,USA,0,34.4872,-85.7798,2440.1,24/07/1985,25/07/1985,News,0,100,Heavy rain,1
38,0,China,0,31.5112,120.376,58279.12,01/08/1985,02/08/1985,News,3,200000,Heavy rain,1
